antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'yogurt', 'bottled beer'})",frozenset({'whole milk'}),0.04874294510005131,0.4581836839404823,0.02744997434581837,0.5631578947368421,1.2291094477515176,1.0,0.005116752193768177,1.2403024102567273,0.19595418846847928,0.05724986623863028,0.19374501594896323,0.31153415453527433
"frozenset({'soda', 'beef'})",frozenset({'whole milk'}),0.04284248332478194,0.4581836839404823,0.024114930733709596,0.5628742514970061,1.2284903876457614,1.0,0.004485203894802326,1.2394975997525957,0.19431787724470662,0.05056481979558902,0.19322151152240988,0.3077529152221873
"frozenset({'curd', 'other vegetables'})",frozenset({'whole milk'}),0.05156490507952796,0.4581836839404823,0.028989225243714726,0.5621890547263682,1.2269949245931595,1.0,0.005363027072335314,1.2375577219086713,0.19505889731209947,0.060298826040554955,0.19195688225538968,0.3127294657730385
"frozenset({'frozen vegetables', 'other vegetables'})",frozenset({'whole milk'}),0.045664443304258596,0.4581836839404823,0.025654181631605953,0.5617977528089888,1.226140896108308,1.0,0.0047314787733694595,1.2364526186999252,0.19325806451612904,0.05364806866952789,0.19123467824310525,0.3088943971211797
"frozenset({'domestic eggs', 'other vegetables'})",frozenset({'whole milk'}),0.05438686505900462,0.4581836839404823,0.030528476141611083,0.5613207547169811,1.2250998330833103,1.0,0.005609301950902448,1.2351081613399757,0.19430778279841499,0.0633315593400745,0.1903543096054887,0.3139750470113461
"frozenset({'sausage', 'pip fruit'})",frozenset({'whole milk'}),0.04207285787583376,0.4581836839404823,0.023601847101077475,0.5609756097560976,1.224346543577418,1.0,0.0043247500856236284,1.2341371643577905,0.19128571761253815,0.04951560818083961,0.1897172949002218,0.3062436839373993
frozenset({'sugar'}),frozenset({'whole milk'}),0.0659312467932273,0.4581836839404823,0.03694202154951257,0.5603112840466926,1.222896632258683,1.0,0.006733400007002576,1.2322725064362483,0.19513488357899225,0.07582938388625593,0.18849118618087488,0.3204691918553732
"frozenset({'yogurt', 'margarine'})",frozenset({'whole milk'}),0.03668547973319651,0.4581836839404823,0.02052334530528476,0.5594405594405595,1.2209962489917698,1.0,0.00371465705400488,1.2298370348652548,0.18788948069241002,0.04326663061114115,0.18688413858868408,0.30211669629362803
"frozenset({'rolls/buns', 'other vegetables'})",frozenset({'whole milk'}),0.14674191893278604,0.4581836839404823,0.08209338122113904,0.5594405594405595,1.2209962489917698,1.0,0.01485862821601952,1.2298370348652548,0.2121241731809981,0.15701668302257116,0.18688413858868408,0.3693059460136728
"frozenset({'yogurt', 'tropical fruit'})",frozenset({'whole milk'}),0.07567983581323756,0.4581836839404823,0.04232939969214982,0.559322033898305,1.2207375633457966,1.0,0.007654133719229787,1.229506255673521,0.19562822227268517,0.0861169102296451,0.1866653826399588,0.32585362613168334
"frozenset({'cream cheese ', 'other vegetables'})",frozenset({'whole milk'}),0.03950743971267317,0.4581836839404823,0.022062596203181118,0.5584415584415584,1.2188158985471413,1.0,0.003960931932572017,1.22705459813479,0.1869161200556549,0.04638619201725998,0.18504033844942924,0.30329692703712857
